id,description
30,"Cotton board shorts - A classic in fabric and form, the 5.6-oz 100% organic cotton brushed canvas of these board shorts provides lightweight durability in and out of the water, with a pattern inspired by plantation-era cane field workshirts. A self-fabric waistband and flat-lying 2-button fly are cleanly styled, and the flapped patch pocket with metal button closure has double-needle stitched seams. Inseam (size 32) is 10""; outseam is 20"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>A Hawaiian classic in fabric and form</li> <li>Fabric pattern inspired by plantation-era cane field workshirts</li> <li>Self-fabric waistband with a flat-lying 2-button fly</li> <li>Flapped patch pocket with metal button closure and double-needle stitched seams</li> <li>""Inseam (size 32) is 10""""; outseam is 20""""""</li> <li>Now available in size 29</li></ul><br><br><b>Fabric: </b>5.6-oz 100% organic cotton brushed canvas. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(222 g 7.7 oz)<br><br>Made in Thailand."
31,"Crosstown - Crosstown or cross-country, this fully featured commuter backpack ensures that your life stays organized whether you're office-bound, hiking the steep and narrow, or somewhere in the global commute. Inside its zippered main compartment, it features a suspended, self-adjusting padded laptop sleeve that handles a 15"" to 17"""" laptop. A secondary zippered compartment opens to a portable office organizer system. With a front catch-all sleeve (with hidden zipper) that provides easy access to documents; a stretch-woven water-bottle pocket and a fleece-lined top pocket that protects sunglasses or electronics; 3-D spacer-mesh backpack straps and back padding for comfort and breathability; an adjustable sternum strap with built-in safety whistle. Made from 150-denier all-recycled polyester double weave with a polyurethane coating and a DWR (durable water repellent) finish.<br><br><b>Details:</b><ul> <li>""Large, zippered main compartment has fully padded, suspended laptop sleeve and separate internal mesh organizer sleeve; second zippered compartment has office organizer pockets""</li> <li>""Front catch-all sleeve with hidden zipper provides easy-access to documents, tickets and other important materials; Side organizer pocket with detachable key chain""</li> <li>Stretch-woven water bottle pocket; fleece-lined top pocket for sunglasses or electronics</li> <li>""3-D spacer-mesh straps and back pad wick moisture, dry quickly and allow air circulation; shoulder straps have slots for clip-on attachments; adjustable sternum strap with built-in safety whistle""</li> <li>Web carrying handle</li> <li>Stowable attachment straps</li> <li>""Holds 15""""- 17"""" laptop""</li></ul><br><br><b>Fabric: </b>7.4-oz 150-denier 100% all-recycled polyester double weave. Lining: 3.3-oz 200-denier 100% polyester. Both with polyurethane coating and a DWR (durable water repellent) finish. Shoulder straps: 100% polyester 3-D spacer mesh<br><br><b>Weight: </b>(781 g 27.1 oz)<br><br>Made in Vietnam."
32,"Custodian pants - long - The graveyard shift has its advantages: quitting time = dawn patrol. Our Custodian Pants are defined by their strong work ethic. They're made from a tough but comfortable 5.2-oz organic cotton canvas, with a flat front, generous wide-entry front pockets, welted back pockets, and a zip fly with button closure. Inseams (size 32): short, 30""; regular, 32""; long, 34"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Lightweight organic cotton canvas</li> <li>Zip fly with button closure</li> <li>Flat front with offset side seams</li> <li>Generous wide-entry front pockets; welted back pockets</li> <li>""Inseam is 34""""""</li></ul><br><br><b>Fabric: </b>5.2-oz 100% organic cotton canvas. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(450 g 15.6 oz)<br><br>Made in Thailand."
33,"Deep wading jkt - Whether you're chasing Olympic Peninsula chrome or reaching for stripers beyond the break, sometimes you simply have to jump in and go deep. This ultra-lightweight jacket is cut above the waist for serious wading. Its minimalist design has all you need from a waterproof/breathable fishing shell (and nothing more). In addition to a full-visibility hood, reversed StretchCoat cuffs and roomy, zippered fly box pockets, it now features fleece-lined handwarmer pockets. Made from a tough 2.5-layer ripstop nylon with a waterproof/breathable H2No barrier. Our shortest fishing jacket, the Deep Wading also has a relaxed fit to accommodate layers and a loaded vest.<br><br><b>Details:</b><ul> <li>""2.5-layer tear-resistant nylon with a Deluge DWR (durable water repellent) finish, waterproof/breathable H2No barrier and sealed seams is packable and lightweight; visibility/Houdini drawcord hood with single-pull adjustment""</li> <li>Drawcord waist with drain holes</li> <li>""External, zippered chest pockets (set high for wading and with drain holes), brushed polyester lined handwarmer pockets, hanging accessory loop inside right pocket""</li> <li>""Glued-in, coated reverse-coil main and chest pocket zippers are highly water resistant""</li> <li>Gusseted reverse StretchCoat cuffs</li> <li>Two internal mesh pockets</li> <li>""D-ring on back, hidden daisy chain above left side label""</li></ul><br><br><b>Fabric: </b>""Shell: 2.5-layer, 2.7-oz 50-denier 100% nylon ripstop with a waterproof/breathable H2No barrier and a Deluge DWR finish. Cuffs: Reverse StretchCoat""<br><br><b>Weight: </b>(372 g 12.9 oz)<br><br>Made in Vietnam."
34,"Delivery shorts - Locals know all the best spots. Our Delivery Shorts are built for all-day comfort and durability, with simple, practical style. Made from a blend of 65% all-recycled polyester and 35% organic cotton, they're designed with a nod to our local deliverymen. Features include a flat front with offset side seams and a zip fly with button closure, generous wide-entry front pockets and welted back pockets. Inseam (size 32) is 11"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Soft yet durable 6-oz 65% recycled polyester blended with 35% organic cotton</li> <li>Zip fly with button closure</li> <li>Flat front with offset side-seams</li> <li>Generous wide-entry front pockets</li> <li>Welted back pockets</li> <li>""Inseam is 11""""""</li></ul><br><br><b>Fabric: </b>6-oz 65% all-recycled polyester/35% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(314 g 10.9 oz)<br><br>Made in Vietnam."
35,"Down sweater vest - Impossible to confuse with the sweater vests found at golf courses and bingo parlors, ours comes packed with ultra-toasty 800-fill down that traps heat in alpine conditions. It has a minimalist design that practically floats, and is so compact it stuffs into its own stretch-mesh internal pocket (with a carabiner clip-in loop). The innovative, superlight 100% all-recycled polyester shell (1.4-oz 22-denier) with a DWR (durable water repellent) finish provides wind and water protection as well as a high tear-strength; quilting stabilizes the down. With zippered handwarmer pockets and a drawcord hem.<br><br><b>Details:</b><ul> <li>""Superlight, windproof and water-resistant shell has high tear-strength""</li> <li>Quilted construction stabilizes premium 800-fill-power European goose down insulation</li> <li>Center-front zipper</li> <li>External pockets: two zippered handwarmers</li> <li>Interior pocket: one zippered stretch-mesh that doubles as a stuff sack with carabiner clip-in loop</li> <li>Elastic binding at armholes</li> <li>Drawcord hem</li></ul><br><br><b>Fabric: </b>Shell and lining: 1.4-oz 22-denier 100% all-recycled polyester with Deluge DWR (durable water repellent) finish. Insulation: 800-fill-power premium European goose down<br><br><b>Weight: </b>243 g (8.6 oz)<br><br>Made in China."
36,Dragoons t-shirt - These dragoons have dropped their weapons in favor of big wave guns. Artist Geoff McFetridge's work creates a peaceful quiver on the Dragoons T-Shirt. The tee is made from 100% organic cotton fabric; PVC- and phthalate-free screen print inks are easier on the environment. The lightweight tee has ringspun yarns and taped shoulder seams for a soft hand. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(150 g 5.2 oz)<br><br>Made in USA.
37,"Duck pants - long - Essential wear for splitting logs, driving nails or applying a little more chewing gum to the crack in the U-joint. Our classic do-alls come in a substantial but light and supple 8-oz organic cotton canvas. With style that is dictated by function, they have a flat front, slant side-entry front pockets and welted, button-through rear pockets. Garment-washed. Inseam (size 32) is 32"" for the regular version; 30"" for the short; 34"" for the long. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Supple organic cotton</li> <li>Classic flat-front styling</li> <li>""Slant side-entry front pockets; welted, button-through rear pockets""</li> <li>""Inseam is 34""""""</li></ul><br><br><b>Fabric: </b>8-oz 100% organic cotton canvas. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>532 g (18.8 oz)<br><br>Made in Thailand."
38,"Elias fz sweatshirt - Clean as a Wingate splitter. Our Elias is made from a welcoming blend of 95% organic cotton and 5% spandex in an athletic, climbing cut. The pockets rise above your harness and the stand-up neck adds a wind barrier to warm up an early season cragging session. The full-zip front makes it easy to take on and off between laps. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ultrasoft 95% organic cotton fleece has 5% spandex for stretch</li> <li>Full-zip with handwarmer pockets</li></ul><br><br><b>Fabric: </b>7.6-oz 95% organic cotton fleece/5% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>447 g (15.8 oz)<br><br>Made in Turkey."
39,"Elias sweatshirt - The dirtbagger's complete wardrobe - wear it bouldering, working the slack line, and setting up a bivy out of view of the ranger's probing eyes. It has a hospitable mix of 95% organic cotton with 5% spandex for suppleness on dynamic moves. When clouds grow ominous, throw the 4-panel hood up to seal in your heat; keep your fingers warm and ready for crimping with the roomy kangaroo pouch pocket. Offset shoulder seams and a clean silhouette stay smooth under your packstraps and harness. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ultrasoft organic cotton fleece has 5% spandex for stretch</li> <li>Pullover hoody with kangaroo pouch pocket</li> <li>Boulder screen print on center chest by Jenny Uehisa</li></ul><br><br><b>Fabric: </b>7.6-oz 95% organic cotton fleece/5% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(426 g 14.8 oz)<br><br>Made in Turkey."
40,"Fezzman shirt - Look fresh even when you feel disheveled. Made with 65% lightweight, breathable, all-recycled polyester and 35% organic cotton plain weave, the Fezz won't wrinkle in the tightest corner of your travel duffel. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Lightweight breathable all-recycled polyester/organic cotton plain weave</li> <li>Single chest pocket</li> <li>Modest tails</li></ul><br><br><b>Fabric: </b>2.9-oz 65% all-recycled polyester/35% organic cotton plain weave. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(164 g 5.7 oz)<br><br>Made in Thailand."
41,"Fish frenzy t-shirt - Dependent on free-flowing currents, the Salmon's extraordinary cycle of life perseveres with the Fish Frenzy T-Shirt. Washington-based artist Nikki McClure's work appears on the tee's 100% organic cotton canvas. Ringspun fabric yarns and taped shoulder seams create a soft hand. PVC- and phthalate-free inks are easier on the environment. The shirt is recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>5.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(199 g 6.9 oz)<br><br>Made in USA."
42,"Freewheeler - This sturdy wheeled bag holds a week's worth of clothes and keeps boots or dirty gear in a separate compartment, a floating baffle separating the two. The zippered, easy-access end compartment and internal mesh toiletry pocket fight the forces of chaos to keep you organized. A light-colored lining makes it easy to see what you have stashed inside. Structurally, impact-resistant skidplates and the tough-as-nails molded bottom pan stand up to brutal treatment, while smooth-rolling 80-mm wheels steered by a 2-position retractable handle get you where you're going. With haul handles at both ends, external compression straps to cinch the load and/or attach bulky items, and batten supports on the sides that keep the bag standing upright but collapse for easy storage. Made from tough 1,200-denier polyester (100% recycled) that has a polyurethane coating and DWR (durable water repellent) finish; with a molded foam and ballistics nylon bottom.<br><br><b>Details:</b><ul> <li>Main compartment holds a week's worth of clothes; fully lined lower compartment separates boots and gear from clothing</li> <li>Floating baffle allows the load to expand into either compartment; zippered end compartment for easy-access items</li> <li>Interior mesh pocket for toiletries; light-colored lining makes contents easy to find</li> <li>Smooth-rolling 80-mm wheels provide plenty of clearance; impact-resistant skidplates</li> <li>Molded bottom pan resists abrasion and protects contents; 2-position retractable handle makes steering easy</li> <li>Haul handles at either end; external compression straps</li> <li>Stowable business card holder lets you ID your bag; batten supports on sides keep bag standing and collapse for easy storage</li></ul><br><br><b>Fabric: </b>11-oz 1200-denier 100% all-recycled polyester. Lining: 3.3-oz 200-denier 100% polyester. Both with polyurethane coating and a DWR (durable water repellent) finish. Bottom: Molded foam and ballistics cloth<br><br><b>Weight: </b>(4500 g 156 oz)<br><br>Made in Philippines."
43,"Gi ii pants - The travel-tested, quick-drying durability of Gi II Pants stand up to rock and river, and provide life-of-the-garment 40-UPF sun protection. Made from superlight 3.7-oz 100% Supplex nylon twill with a gusseted crotch for wide-stemming maneuvers. Details include a low profile buckle-closure elastic waist (which fits under a harness), change-safe on-seam pockets with mesh drains, a side-leg zippered pocket large enough for a map (with internal key loop) and a zippered rear pocket. Now, with an modernized fit that is wider at the ankle. Inseam (size M) is 33"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Updated fit; durable, quick-drying nylon twill""</li> <li>""Fixed web belt with elasticized waist, separating buckle and button-through zip fly""</li> <li>Change safe on-seam front pockets with polyester mesh for drainage</li> <li>Zippered side-pocket on leg is large enough for a map and has an internal key loop</li> <li>Zippered back pocket</li> <li>Gusseted crotch</li> <li>""Inseam is 33""""""</li></ul><br><br><b>Fabric: </b>3.7-oz 100% Supplex nylon twill with 40-UPF sun protection. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(340 g 11.8 oz)<br><br>Made in Colombia."
44,"Gi ii shorts - Base camp favorites, the Gi II's featherlight weight and motion-friendly crotch gusset invite day hikes, bouldering sessions, and dips in the creek. Soft, tough nylon twill provides 40-UPF sun protection, dries fast and packs small when you take your show on the road. The elastic waist has a separating low-profile buckle and button-through zip fly. Two self-draining front pockets, rear zip pocket and a beer-bottle-sized zippered drop-in thigh pocket. Inseam length (size M) is 11"".<br><br><b>Details:</b><ul> <li>Updated fit</li> <li>""Tough, quick-drying nylon fabric""</li> <li>""Elasticized waist with fixed webbing belt, separating buckle and button-through zip fly""</li> <li>""Two self-draining front pockets, rear zip pocket and a beer-bottle-sized zippered thigh pocket with hook-and-loop closure""</li> <li>Gusseted crotch</li> <li>""Inseam is 11""""""</li></ul><br><br><b>Fabric: </b>3.7-oz 100% Supplex nylon twill with 40-UPF sun protection. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(265 g 9.2 oz)<br><br>Made in Colombia."
45,"Girl's boardie capris - Built for two-week camping trips on Baja beaches, these capris are made of a lightweight, soft-brushed 3.7-oz 100% microfiber polyester that handles salt water, sand and dirt, dry quickly, and have a DWR (durable water repellent) finish. Two back darts and a built-in elastic waist adjustment hone the fit. Three-snap leg openings allow vented styling. With a hook-and-loop soft-tie fly and a self-draining back patch pocket. Hip-riding. Inseam is 18"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Lightweight, soft-brushed microfiber polyester dries quickly and has a Deluge DWR (durable water repellent) finish""</li> <li>Two back darts and a built-in elastic waist adjustment hone the fit</li> <li>3-snap leg openings allow vented styling</li> <li>""Hook-and-loop, soft-tie fly and self-draining back patch pocket""</li> <li>Hip-riding</li> <li>""Inseam is 18""""""</li></ul><br><br><b>Fabric: </b>3.7-oz 100% microfiber polyester with a brushed face and a Deluge DWR finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(103 g 3.6 oz)<br><br>Made in Colombia."
46,"Girl's boardie shorts - So you're raising Neptune's daughter - put her in some boardies. Constructed of a durable and soft-brushed 3.7-oz 100% microfiber polyester, these shorts are DWR (durable water repellent) treated and dry quickly. Comfort and better performance come from forward seaming in the crotch and a partially elasticized waistband with a nylon drawcord closure. The zippered hip pocket lays flat and self-drains. Hip-riding; unlined. Inseam is 3 3/4"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Soft, durable lightweight microfiber polyester is quick-drying""</li> <li>Partial elasticized waistband manages fit and comfort</li> <li>Forward seaming at crotch for mobility and comfort</li> <li>""Board-short-inspired closure with a secure, easy-to-adjust nylon drawcord""</li> <li>""Zippered hip pocket lies flat, out of the way and drains""</li> <li>Hip-riding and unlined</li> <li>""3 3/4"""" inseam""</li></ul><br><br><b>Fabric: </b>3.7-oz 100% microfiber polyester with a brushed face and a DWR (durable water repellent finish). Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(92 g 3.2 oz)<br><br>Made in Colombia."
47,"Girl's cotton tank dress - This soft cotton dress feels breezy and cool, just like a day at the beach. Made of a lightweight 5-oz 100% organic cotton jersey-knit fabric that breathes naturally and rests smoothly against skin. The partially elasticized waist provides shape and a flattering fit; it also encourages a full range of mobility. The versatile tank-top styling layers nicely, and pleated handwarmer pockets and front gathering details create a flattering fit. The hemline is just above the knees. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Soft organic cotton jersey knit</li> <li>Tank style great for layering or alone</li> <li>Partial elasticized waist gives shape and comfort for freedom of movement</li> <li>Handwarmer pockets</li> <li>Hem hits above knee</li></ul><br><br><b>Fabric: </b>5-oz 100% organic cotton jersey. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(158 g 5.5 oz)<br><br>Made in Turkey."
48,"Going big in b.c. poster - One mans trash is another mans treasure. Orry Grant taking it out on Trash Chutes. Nelson, B.C. For 30 years we've paid tribute to human adventures both near and far with a collection of photographs that speak to the passion, joy and beauty of lives spent outside. These photos have appeared exclusively on our Web site, in our catalog and on the walls of our retail stores and specialty outdoor clothiers around the world. And now we are excited to make select photos available to you as posters. We hope they brighten up your space and inspire you to get outside.<br><br><b>Details:</b><ul> <li>Dimensions: 24 x 36</li> <li>""Photo by Steve Ogle ?2009 Patagonia, Inc.""</li></ul><br><br><b>Fabric: </b>Printed with soy inks on 100% recycled paper<br><br>Printed in USA."
49,"Great divider - From standing waves to blue-water wind chop, there's one universal truth: Boat decks get wet. Hence, the Great Divider. Our award-winning soft-sided gear chest efficiently organizes and protects everything an angler needs. Made from 840-denier double-polyurethane-coated nylon and patented molded top and bottom pans for waterproof protection even in standing water (up to the zipper). Welded seams eliminate leakage. Shock-absorbing high-density foam gives the bag shape. Inside, foam dividers can be arranged in any configuration storing gear, reels, flies and camera equipment. A transparent floating panel and removable end pockets help organize small items. Access is through a highly water-resistant zipper with t-grip. The single, adjustable split shoulder strap is removable and the insides can be removed, packed flat within luggage for streamlined storage, then easily assembled when you reach your destination.<br><br><b>Details:</b><ul> <li>""Durable, waterproof, coated nylon exterior repels water; pliable, resilient high-density foam main compartment gives bag shape and protects contents""</li> <li>Molded bottom pan repels standing water and grips slippery surfaces; transparent floating interior panel (on the inside lid) has zippered pockets on  both sides</li> <li>""Foam dividers (with hook-and-loop attachments) can be arranged in any configuration; two interior, zippered, transparent removable end pockets""</li> <li>Strap attachments and seams are welded to eliminate leakage</li> <li>Highly water-resistant zipper with t-grip</li> <li>Foam-padded handle</li> <li>""Single, adjustable, removable split shoulder strap""</li></ul><br><br><b>Fabric: </b>""Body: 840-denier nylon double-coat with polyurethane coating. Top and bottom: Patented, molded, one-piece TPU""<br><br><b>Weight: </b>(1950 g 67.6 oz)<br><br>Made in China."
50,"Guidewater duffle - max - For serious angling expeditions, the Guidewater Duffel Max lives up to its name, hauling maximum gear with grace and efficiency. More importantly, it keeps wet stuff ventilated (preventing the dreaded ""stink waders"") and away from your dry goods with a coated, floating baffle. Now made with an even tougher, 840-denier double polyurethane-coated nylon fabric. High-airflow mesh, coated, water-resistant zippers, rod tube attachment points and an adjustable, padded, split shoulder strap and external zippered mesh pocket combine to create the ultimate angler's duffel. For added security, 4-piece rod tubes also fit easily within the Max.<br><br><b>Details:</b><ul> <li>""Separate wet and dry sides with floating, water-resistant divider""</li> <li>Coated water-resistant zipper eliminates bulk and provides easy access</li> <li>Two web loops on outside for rod tube attachment</li> <li>Split shoulder strap with adjustable fit</li> <li>External zippered mesh pocket</li></ul><br><br><b>Fabric: </b>Waterproof side: 840-denier nylon double-coat with polyurethane film. Breathable side: 300-denier polyester (47% recycled) double weave and nylon mesh. Floating divider: 70-denier nylon with polyurethane film<br><br><b>Weight: </b>(1298 g 45 oz)<br><br>Made in China."
51,"Guidewater jkt - Pounding into the teeth of a nor'easter or swinging tips through the deluge  the Guidewater keeps you fishing comfortably long after other anglers have headed for the barn. We combined our best knowledge of fabrics, design and technology to create a full-featured, highly technical piece of angling equipment. Waterproof/breathable 3-layer stretch nylon, along with a two-inch longer cut, make this the shell of choice for skiff, bay boat and jet sled guides. Although the design ethic is minimalist, ergonomically placed pockets and custom-engineered ""fish pulls"" (which vastly improve waterproof reverse-coil zipper function) put everything you need at your fingertips. In other words, you can retire your vest. The tuck-away hood won't flap in the wind, and the brushed-fleece lined collar provides decadent comfort. More fishing-specific details: glued-in waterproof zippers, drain holes in hem and pockets, attachment patch, forceps/glasses loop, modified reversed StretchCoat cuffs, rod holder. The Guidewater is our longest fishing jacket (four inches longer than the Deep Wading Jacket).<br><br><b>Details:</b><ul> <li>""Light, highly breathable and durable 3-layer recyclable nylon double ripstop fabric with a waterproof/breathable H2No barrier and a Deluge DWR (durable water repellent) finish; tuck-away hood with single-pull adjustment""</li> <li>""Waterproof, corrosion resistant ririAQUAzip main and chest pocket zippers; External, zippered chest pockets (set high for wading and with drain holes), brushed polyester lined handwarmer pockets, hanging accessory loop inside right pocket""</li> <li>""Reversed StretchCoat cuff fabric; two Beastie D-rings on front, one on back""</li> <li>Hidden daisy chain above left side label; back pocket has ririAQUAzip zipper</li> <li>""Internal mesh pocket; internal pocket with vertically glued-in, coated reverse-coil zipper""</li> <li>Brushed fleece collar; Hidden rod holder</li> <li>Y-Joint sleeves and anatomically curved elbows; all seams are sealed</li></ul><br><br><b>Fabric: </b>""3-layer, recyclable 100% nylon double ripstop with a waterproof/ breathable H2No barrier and a Deluge DWR finish. Cuffs: Reverse StretchCoat. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(617 g 21.4 oz)<br><br>Made in Vietnam."
52,"Guidewater shorts - Everything we love about the Guidewater Pants, and less. The shorts version has all the same water-specific features, including zippered side-leg pocket, mesh drainage on all pockets and remarkably fast dry time that make these the fishing shorts of choice for anglers. And, like the pants, the comfortable fit, zippered fly and constructed waist with stretch sections and belt loops make the Guidewater Shorts ideal for pretty much any activity. Which is to say, you may find yourself wearing 'em everywhere - we do. Made from lightweight, recylable, woven nylon fabric with 50+ UPF sun protection. Recyclable through our Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Recyclable, lightweight, woven nylon fabric is durable and quick-drying and provides 50+ UPF sun protection""</li> <li>""Front pockets, zippered side-leg and rear pocket all have mesh drainage""</li> <li>Constructed waist with two stretch sections and zip fly for maximum comfort</li> <li>""Inseam (size M) is 10""""""</li></ul><br><br><b>Fabric: </b>4.3-oz 100% nylon with DWR (durable water repellent) finish and 50+ UPF sun protection. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(259 g 9 oz)<br><br>Made in Thailand."
53,"Guidewater vest - Find the tippet, tool or fly box you need without taking your eyes of that big bank feeder. The Guidewater Vest replaces old school flap-covered pockets with a curved-zipper panel organization system for improved visibility of, and access to, vest contents with one single-handed motion. The angler-designed storage system conveniently and intuitively organizes everything you need and puts it at your fingertips. Our latest version features dual front closures (zipper and clasp) for versatile fit over layers and is now made from polyester mesh and 100% woven nylon. Additional details: padded shoulder support, brushed-mesh lined handwarmer pockets, two internal zip pockets, back storage, multiple attachment points, removable fly patch and built-in rod holder.<br><br><b>Details:</b><ul> <li>""Lightweight mesh, woven, and stretch fabric combination for comfort, breathablility, and low moisture retention; full-length curved zipper panels provide increased organization, visibility and access to fly boxes, tippet and tools""</li> <li>Brushed mesh handwarmer pockets; back zip storage capability</li> <li>""Fully padded shoulder support; Multiple external attachment points, removable fly patch, built-in rod holder""</li> <li>Drainage doubles as zinger slot; Adjustable hem drawcord</li> <li>Dual closures (zipper and clasp) allow for a customized fit</li> <li>""Two Beastie D-rings on front, one on back""</li> <li>Large haul loop for hanging/carrying</li></ul><br><br><b>Fabric: </b>Body and pockets: 4.6-oz polyester mesh combined with 4.3-oz 100% woven nylon with DWR (durable water repellent) finish. Lower pocket panels: 3.9-oz stretch nylon with a polyurethane coating. Collar: 3.8-oz 100% polyester<br><br><b>Weight: </b>(614 g 21.3 oz)<br><br>Made in China."
54,"Highwater pfd vest - The constant boat angling dilemma: You know you should wear one, but who wants to fish all day in a life vest? Here's the solution: The Highwater Vest is a full-on USCG-approved Type III personal floatation device that's also a trim-fitting, functional fishing vest. Better yet, it's so comfortable and allows such a wide range of motion, you'll forget you're even wearing a PFD. The Highwater features Gaia foam that's lighter than conventional foam and free of CFC-ozone-depleting materials, without sacrificing performance. Deft adjustment points, die-cut/hand-skived foam and an open-mesh back keep the profile slim (and cool and comfortable to wear, even in a high-backed kayak seat or float tube). The low neckline, narrow chest and short waist create large armholes for unimpeded casting. Details: adjustable shoulder and side straps, two large flapped pockets with piggyback mesh pockets, two D-rings on the front and one on the back.<br><br><b>Details:</b><ul> <li>Cordura nylon covers Gaia PVC-free foam with no CFC ozone-depleting materials; front zipper and four buckles provide easy on/off and adjustment</li> <li>Three adjustment points on sides and adjustable shoulder straps fine tune the fit</li> <li>Two large flapped pockets (with piggyback stretch mesh pockets)</li> <li>Two front D-rings for accessories one D-ring on back for a net</li> <li>Ventilating open-mesh back</li> <li>""Short waist, low neckline, and narrow chest for freedom of movement""</li> <li>Type III US Coast Guard approved flotation vest</li></ul><br><br><b>Fabric: </b>Shell: 500-denier Cordura nylon. Lining: 200-denier nylon oxford. Lower back: polyester mesh<br><br><b>Weight: </b>(894 g 31 oz)<br><br>Made in China."
55,"Hip chest pack - Ready to go vest free? This is the classic alternative. Designed to be worn either on the hips or at the chest (hence the name), this bombproof, streamlined pack is the ultimate in functional simplicity. Made from tough, polyurethane-coated polyester (47% recycled) double-weave, the Hip Chest Pack has DWR (durable water repellent) coated zippers with custom fish pulls, a side magnetic loop, retractor attachment bar and quick-release DuraFlex Stealth-V buckle. More features: Brushed stretch neck strap, 2-way zips in main compartment, stretch mesh external storage/water bottle pocket and internal organizing panels.<br><br><b>Details:</b><ul> <li>Pack storage designed for fishing and tested by anglers; polyester double-weave pack can be worn at chest or hips</li> <li>Main compartment has 2-way zips; all zippers are DWR (durable water repellent) coated and have custom fish pulls</li> <li>Stretch-mesh interior paneling organizes fly boxes and accessories; gusseted stretch-mesh outer pocket</li> <li>Side magnetic loop and retractor attachment bar keeps tools handy</li> <li>Brushed stretch neck strap has been lengthened for added functionality</li> <li>Padded back panel provides comfort and absorbs minimal water</li> <li>""Adjustable and quick-release DuraFlex Stealth-V buckle for smooth function, low profile and easy adjustment""</li></ul><br><br><b>Fabric: </b>""Body: 300-denier 100% polyester (47% recycled) double weave. Lining: 200-denier 100% polyester. Both with polyurethane coating. Mesh pockets: 100% stretch-woven nylon. Back panel: 92% stretch-woven nylon/8% spandex. Body, lining, and back panel have a DWR finish""<br><br><b>Weight: </b>(421 g 14.6 oz)<br><br>Made in Vietnam."
56,"Iceberg t-shirt - The effects of global warming run deep, depicted here on the Iceberg T-Shirt with artwork by wood block print artist Nick Wroblewski. Made from 100% ringspun organic cotton and printed with PVC- and phthalate-free inks, the shirt has taped shoulder seams for added comfort. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>5.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(199 g 6.9 oz)<br><br>Made in USA."
